empresa,subcta,tipo_obs,numero_obs,observacion,usuarientrada,dataalta,empresa_id,subcta_id,name
1,4000374,11,1,"HORARIO LUNES/JUEVES 9H-13H y 15H-18H, VIERNES 9H-13H",,2014-09-03,1,1_4000374,1_4000374_11_1
1,4300392,11,1,ERF- CyC DICEN TIENEN RIESGO DE 19000E,,2014-09-03,1,1_4300392,1_4300392_11_1
1,4000602,11,1,HORARIO DE 8:00-13:30,,2014-09-03,1,1_4000602,1_4000602_11_1
1,4301633,11,1,ENVIO A PORTES PAGADOS Y CARGADO EN FACTURA,,2014-09-03,1,1_4301633,1_4301633_11_1
1,4300643,11,2,"16/09/09 EMAIL CON ARCHIVOS, SG-CL-09-02 Y DRIPTIC",,2014-09-03,1,1_4300643,1_4300643_11_2
1,4300920,11,1,16/09/09 EMAIL CON ARCHIVOS SG-CL-09-01 Y DRIPTICO,,2014-09-03,1,1_4300920,1_4300920_11_1
1,4301085,11,1,16/09/09 ENVIO EMAIL SG-CL-09-01 Y DRIPTICO,,2014-09-03,1,1_4301085,1_4301085_11_1
1,4301269,11,1,"07/10/09 EMAIL CON ARCHIVOS, SG-CL-09-01 Y DRIPTIC",,2014-09-03,1,1_4301269,1_4301269_11_1
1,4301549,11,1,"22/09/09 EMAIL CON ARCHIVOS, SG-CL-09-01 Y DRIPTIC",,2014-09-03,1,1_4301549,1_4301549_11_1
1,4301151,11,1,**JSF CERRADA 2002**,,2014-09-03,1,1_4301151,1_4301151_11_1
1,4300663,11,1,07/10/2009 EMAIL CON ARCHVOS SG-CL-09-01 Y DRIPTIC,,2014-09-03,1,1_4300663,1_4300663_11_1
1,4301638,90,1,MANDAR FACTURA POR EMAIL A SILVIA,,2014-09-03,1,1_4301638,1_4301638_90_1
1,4301638,11,1,PARA VALORES SUPERIORES 300EUROS PASAR A 90 DIAS,,2014-09-03,1,1_4301638,1_4301638_11_1
1,4000211,11,1,AUMENTOS 2005 +10% - 2006 +% - 2007 = - ,,2014-09-03,1,1_4000211,1_4000211_11_1
1,4000409,12,1,12/11/2009-FACTURA FINAL DE MES,,2014-09-03,1,1_4000409,1_4000409_12_1
1,4000567,11,1,NOV/09 PEDIDOS MINIMOS 100KG POR MEDIDA,,2014-09-03,1,1_4000567,1_4000567_11_1
1,4000651,11,1,VIENE DE ALHSTROM,,2014-09-03,1,1_4000651,1_4000651_11_1
1,4000651,11,2,DISTRIBUIDOR MF FILTRI srl y INDUSTRIAL FILTRO srl,,2014-09-03,1,1_4000651,1_4000651_11_2
1,4300234,90,1,UNA FACTURA MENSUAL FECHA FINAL DE MES,,2014-09-03,1,1_4300234,1_4300234_90_1
1,4301315,90,1,UNICA FACTURA A FINAL DE MES,,2014-09-03,1,1_4301315,1_4301315_90_1
1,4301620,90,1,JUNIO/10 SUBASTA PUBLICA POR EMBARGO,,2014-09-03,1,1_4301620,1_4301620_90_1
1,4301620,90,2,******NO VENDERLE******,,2014-09-03,1,1_4301620,1_4301620_90_2
1,4301384,90,1,12/05/2010 JSF ***EMPRESA CERRADA FEB/2009***,,2014-09-03,1,1_4301384,1_4301384_90_1
1,4301120,80,1,AUTORITZACIO BANCARIA 20-05-2010,,2014-09-03,1,1_4301120,1_4301120_80_1
1,4302053,11,1,"12/07/10 DSS EMPRESA CERRADA, VECINOS DICEN CERRAD 09/07/10",,2014-09-03,1,1_4302053,1_4302053_11_1
1,4301418,11,1,JSF ***CERRADA***,,2014-09-03,1,1_4301418,1_4301418_11_1
1,4301273,11,1,JSF ***CERRADA 2008***,,2014-09-03,1,1_4301273,1_4301273_11_1
1,4301415,11,1,JSF ***CERRADA 2009***,,2014-09-03,1,1_4301415,1_4301415_11_1
1,4301178,11,1,JSF ***CERRADA***,,2014-09-03,1,1_4301178,1_4301178_11_1
1,4000670,11,1,DIVISION IND SIEBEC,,2014-09-03,1,1_4000670,1_4000670_11_1
1,4301060,11,1,JULIO/10 CAMBIO A CONFIRMING Y DIRECC ENVIO FACTURAS,,2014-09-03,1,1_4301060,1_4301060_11_1
1,4301663,11,1,GRUPO COATRESA,,2014-09-03,1,1_4301663,1_4301663_11_1
1,4300111,11,1,"05/10/10 POCO TRABAJO, NOS TIENEN PRESENTE POSIBLE NECESIDAD",,2014-09-03,1,1_4300111,1_4300111_11_1
1,4300616,11,1,05/10/2010 EMAIL SG-CL-10-01 Y DRIPTIC,,2014-09-03,1,1_4300616,1_4300616_11_1
1,4301080,11,1,16-04/2009 EMAIL SG-CL-09-01 Y DRIPTIC,,2014-09-03,1,1_4301080,1_4301080_11_1
1,4300852,11,2,05/10/2010 EMAIL SG-CL-10-01 Y DRIPTIC,,2014-09-03,1,1_4300852,1_4300852_11_2
1,4000670,11,2,HORARIO L-J DE 9h-13H y DE 15H-18H VIERNES DE 9H-13H,,2014-09-03,1,1_4000670,1_4000670_11_2
1,4301211,11,1,HORARIO DE 8:00-13:30 Y DE 15:30-19,,2014-09-03,1,1_4301211,1_4301211_11_1
1,4000120,11,1,"HORARIO LUNES-JUEVES DE 7-13H y 14-18H, VIERNES DE 7-13H",,2014-09-03,1,1_4000120,1_4000120_11_1
1,4301473,91,1,ADELANTAR FRA. POR E-MAIL,,2014-09-03,1,1_4301473,1_4301473_91_1
1,4301489,90,1,ENVIAR FRA ELECTRONICA A compras@2cisa.com ,,2014-09-03,1,1_4301489,1_4301489_90_1
1,4310087,11,1,***JSF CERRADA***,inagasa2,2014-12-19,1,1_4310087,1_4310087_11_1
1,4301697,11,1,CONTINUIDAD DE ES.T.AGRUP -,,2014-09-03,1,1_4301697,1_4301697_11_1
1,4300880,99,3,ENERO/2011 PAGO 30 DIAS APLICAR DTO 2% EN LINEA PRODUCTO,,2014-09-03,1,1_4300880,1_4300880_99_3
1,4000664,90,1,ENERO/11 UNA SOLA FACTURA A FINAL DE MES,,2014-09-03,1,1_4000664,1_4000664_90_1
1,4301675,11,1,SIGUEN ACTIVIDAD DE PULIDOS RM,,2014-09-03,1,1_4301675,1_4301675_11_1
1,4301690,90,1,ADELANTAR FRA POR EMAIL A RAQUEL GONZALEZ,,2014-09-03,1,1_4301690,1_4301690_90_1
1,4302053,11,2,DIC/10 NUEVA EMPRESA ANODIZADOS SERT,,2014-09-03,1,1_4302053,1_4302053_11_2
1,4301360,11,1,***FEB/11 JSF CERRO NOV/2010***,,2014-09-03,1,1_4301360,1_4301360_11_1
1,4000631,11,1,***ANTES EGARA WATER CUT*****,,2014-09-03,1,1_4000631,1_4000631_11_1
1,4000631,11,2,***DICI/10 CERRO LEIVA METAL.LISTES SL B61533295***,,2014-09-03,1,1_4000631,1_4000631_11_2
1,4000631,11,3,ENERO/2011-GEPROMET-ADOLFO LEIVA NAVARRO,,2014-09-03,1,1_4000631,1_4000631_11_3
1,4000677,11,1,DE 7H-13H y 15H-18:30H,,2014-09-03,1,1_4000677,1_4000677_11_1
1,4300276,11,1,**JSF  CERRADA EN 2006**,,2014-09-03,1,1_4300276,1_4300276_11_1
1,4300290,11,1,**JSF CERRADA EN 2009**,,2014-09-03,1,1_4300290,1_4300290_11_1
1,4300306,11,1,**JSF CERRADA 2009**,,2014-09-03,1,1_4300306,1_4300306_11_1
1,4300329,11,1,**JSF CERRADA 2008**,,2014-09-03,1,1_4300329,1_4300329_11_1
1,4000613,11,1,REA: FI477398,,2014-09-03,1,1_4000613,1_4000613_11_1
1,4300744,11,1,**JSF PASO A LLAMARSE BARAYO SA EN EL 2005 CERRO 2009,,2014-09-03,1,1_4300744,1_4300744_11_1
1,4300793,11,1,**JSF CERRADA 1996**,,2014-09-03,1,1_4300793,1_4300793_11_1
1,4300834,11,1,**JSF CERRADA 2010**,,2014-09-03,1,1_4300834,1_4300834_11_1
1,4300860,11,1,**JSF CERRADA 2000**,,2014-09-03,1,1_4300860,1_4300860_11_1
1,4300879,11,1,**JSF CERRADA 2004**,,2014-09-03,1,1_4300879,1_4300879_11_1
1,4000678,11,1,HORARIO 7H-13H Y 14:30-19H,,2014-09-03,1,1_4000678,1_4000678_11_1
1,4300899,11,1,**JSF CERRADA 1999**,,2014-09-03,1,1_4300899,1_4300899_11_1
1,4000470,11,1,SEP/2009 HASTA 3000KG PORTES 22EUROS,,2014-09-03,1,1_4000470,1_4000470_11_1
1,4300960,11,1,**JSF LIQUIDACION 2010**,,2014-09-03,1,1_4300960,1_4300960_11_1
1,4300985,11,1,**JSF LIQUIDACION 2008**,,2014-09-03,1,1_4300985,1_4300985_11_1
1,4300988,11,1,**JSF CERRADA 2007**,,2014-09-03,1,1_4300988,1_4300988_11_1
1,4301031,11,1,**JSF CERRADA 2006**,,2014-09-03,1,1_4301031,1_4301031_11_1
1,4301033,11,1,**JSF CERRADA 2008**,,2014-09-03,1,1_4301033,1_4301033_11_1
1,4301036,11,1,**JSF 15/04/2011 NO CONTESTAN TL**,,2014-09-03,1,1_4301036,1_4301036_11_1
1,4301719,11,1,RECUBRIMIENTO Pt se lo hace DENORA,,2014-09-03,1,1_4301719,1_4301719_11_1
1,4000670,11,3,HORARIO ALMACEN L-J DE 10h-13h y de 15H-17H VIERNES 9h-13:30,,2014-09-03,1,1_4000670,1_4000670_11_3
1,4000681,11,1,CERRADA FINALES 2012,,2014-09-03,1,1_4000681,1_4000681_11_1
1,4300401,99,1,**** 10/01/2012- CONCURSO DE ACREEDORES ******,,2014-09-03,1,1_4300401,1_4300401_99_1
1,4000211,11,3,"2012 TC Cu simple  +SOLDADURA ANODO 6,70E/ud.",,2014-09-03,1,1_4000211,1_4000211_11_3
1,4000571,91,1,13/09/2011 AVISAR ANTES 13H PARA RECOGER EL MISMO DIA,,2014-09-03,1,1_4000571,1_4000571_91_1
1,4301196,11,1,**JSF CERRADA 2008**,,2014-09-03,1,1_4301196,1_4301196_11_1
1,4000228,11,1,ABRIL ERE DESPIDO GENERAL EXCEPTO 4 PERSONAS,,2014-09-03,1,1_4000228,1_4000228_11_1
1,4000613,11,2,HORARIO DE 9:12:30 y DE 13:30-17:00,,2014-09-03,1,1_4000613,1_4000613_11_2
1,4301207,11,1,**JSF CERRADA 2010**,,2014-09-03,1,1_4301207,1_4301207_11_1
1,4301210,11,1,**JSF EN LIQUIDACION 2006**,,2014-09-03,1,1_4301210,1_4301210_11_1
1,4301260,11,2,**JSF CERRADA 2002**,,2014-09-03,1,1_4301260,1_4301260_11_2
1,4300228,11,2,ANTES GALVANOPLASTIA TAURO SL NIF B61755674,,2014-09-03,1,1_4300228,1_4300228_11_2
1,4301269,11,2,ANTES SACESA-SDAD ANDALUZA DE COMPON.ESPECIALES SA,,2014-09-03,1,1_4301269,1_4301269_11_2
1,4301313,11,1,**JSF LIQUDACION 2008**,,2014-09-03,1,1_4301313,1_4301313_11_1
1,4301661,90,1,FACTURA QUINCENAL,,2014-09-03,1,1_4301661,1_4301661_90_1
1,4301322,11,1,**JSF LIQUIDACION 2004** PROP. EMILI SANCHEZ,,2014-09-03,1,1_4301322,1_4301322_11_1
1,4000459,11,1,HORARIO DE 9H-14H y 15H-18H,,2014-09-03,1,1_4000459,1_4000459_11_1
1,4301362,11,1,**JSF CERRADA 2009**,,2014-09-03,1,1_4301362,1_4301362_11_1
1,4301682,11,1,PERSONAL DE UCA,,2014-09-03,1,1_4301682,1_4301682_11_1
1,4000571,11,1,13/09/2011 AVISAR ANTES 13H PARA RECOGER EL MISMO DIA,,2014-09-03,1,1_4000571,1_4000571_11_1
1,4301603,11,2,ENERO/2012 CESE ACTIVIDAD PASA A MONTAJES SEFERSA,,2014-09-03,1,1_4301603,1_4301603_11_2
1,4301580,11,1,HORARIO 2 TURNOS DE 6-14 y 14-22,,2014-09-03,1,1_4301580,1_4301580_11_1
1,4000148,11,1,HASTA SEPT/11 TAINCO,,2014-09-03,1,1_4000148,1_4000148_11_1
1,4000126,11,1,AUMENTOS 2005 +5/7% - 2006 +5% - 2007 +5% -  2008 +5%,,2014-09-03,1,1_4000126,1_4000126_11_1
1,4000651,11,3,AUMENTOS PAPEL 2011 +5% - 2012 +5% -2013 +6% -2014 +5%,,2014-09-03,1,1_4000651,1_4000651_11_3
1,4000298,11,2,DD,,2014-09-03,1,1_4000298,1_4000298_11_2
1,4000298,11,3,"MAYO/09 HAN CERRADO DELEG.HOSPITALET, TODO LO MANDAN",,2014-09-03,1,1_4000298,1_4000298_11_3
1,4000298,11,4,DESDE VICTORIA A PORTE CARGADO EN FACTURA,,2014-09-03,1,1_4000298,1_4000298_11_4
1,4000571,11,2,"2012 AUMENTO 2,90% SOBRE TARIFA",,2014-09-03,1,1_4000571,1_4000571_11_2
1,4000409,11,2,HORARIO DE 7H-20H(COMIDA DE 14H-15H)RECEPCION DE 8H-18H,,2014-09-03,1,1_4000409,1_4000409_11_2
1,4000126,11,2,"2011 +2,5% - 2012 +5% -2014 +6%",,2014-09-03,1,1_4000126,1_4000126_11_2
1,4000651,11,4,AUMENTOS CARTUCHOS BOBI 2011 -50%,,2014-09-03,1,1_4000651,1_4000651_11_4
1,4000651,11,5,AUMENTOS CARTUCHOS PRENS 2012 -33%,,2014-09-03,1,1_4000651,1_4000651_11_5
1,4000590,11,1,AUMENTOS 2005 +3% - 2006 +%,,2014-09-03,1,1_4000590,1_4000590_11_1
1,4000590,11,2,HORARIO LU-JU de 8:00-13:30 y 15:30-18:00 VI de 8:00-13:30,,2014-09-03,1,1_4000590,1_4000590_11_2
1,4000211,11,2,"HORARIO DE LUNES/JUEVES 9-13,30 y 14,30-17,30 VIERNES 8-15",,2014-09-03,1,1_4000211,1_4000211_11_2
1,4301059,11,1,**JSF CERRO**,,2014-09-03,1,1_4301059,1_4301059_11_1
1,4301148,11,1,**JSF CERRADA 2011**,,2014-09-03,1,1_4301148,1_4301148_11_1
1,4301284,11,1,**JSF CERRADA 08/2011**,,2014-09-03,1,1_4301284,1_4301284_11_1
1,4301586,11,1,**JSF CERRADA 2009**,,2014-09-03,1,1_4301586,1_4301586_11_1
1,4301558,11,2,**JSF CERRADA 2009**,,2014-09-03,1,1_4301558,1_4301558_11_2
1,4301532,11,1,***JSF CERRADA 2010**,,2014-09-03,1,1_4301532,1_4301532_11_1
1,4301509,11,1,**JSF CERRADA MAYO/2011**,,2014-09-03,1,1_4301509,1_4301509_11_1
1,4301461,11,1,**JSF CERRADA 2005**,,2014-09-03,1,1_4301461,1_4301461_11_1
1,4301443,11,1,***JSF CERRADA 2009**,,2014-09-03,1,1_4301443,1_4301443_11_1
1,4301399,11,1,**JSF CERRADA 2005**,,2014-09-03,1,1_4301399,1_4301399_11_1
1,4301372,11,1,**JSF CERRADA**,,2014-09-03,1,1_4301372,1_4301372_11_1
1,4301365,11,1,**JSF CERRADA 2010**,,2014-09-03,1,1_4301365,1_4301365_11_1
1,4301430,11,1,**JSF CERRADA 2011**,,2014-09-03,1,1_4301430,1_4301430_11_1
1,4000052,11,1,HORARIO DE 8:30-18:30,inagasa2,2014-09-29,1,1_4000052,1_4000052_11_1
1,4301030,90,1,*OJO VENCIMIENTOS AGOSTO/12 HABLAR CON EL CLIENTE*,,2014-09-03,1,1_4301030,1_4301030_90_1
1,4301637,91,1,*** 14/05/2012 - NO TIENEN RIESGO ****,,2014-09-03,1,1_4301637,1_4301637_91_1
1,4000163,4,2,"D30, D40",,2014-09-03,1,1_4000163,1_4000163_4_2
1,4301609,11,1,HORARIO 8:30-13:00 15:00-18:00,,2014-09-03,1,1_4301609,1_4301609_11_1
1,4301132,11,1,**JSF CERRADA**,,2014-09-03,1,1_4301132,1_4301132_11_1
1,4300717,11,1,** JSF CERRADA **,,2014-09-03,1,1_4300717,1_4300717_11_1
1,4301274,11,1,** JSF CERRADA **,,2014-09-03,1,1_4301274,1_4301274_11_1
1,4301217,11,1,"ALME-HORARIO 7:30-12:30, 13:30-16:30",,2014-09-03,1,1_4301217,1_4301217_11_1
1,4301676,11,1,***JSF CERRADA***,,2014-09-03,1,1_4301676,1_4301676_11_1
1,4300048,11,1,HORARIO L-J 8:30-13:30 Y 14:30-17:30 V 08:30-14:30,inagasa2,2015-05-28,1,1_4300048,1_4300048_11_1
1,4301247,99,1,"FRA13000134 Import 282,29.-E. Vt.13/04/2014 PENDENT DE COBRO",inagasa1,2014-10-01,1,1_4301247,1_4301247_99_1
1,4301436,11,1,**JSF CERRADA**,,2014-09-03,1,1_4301436,1_4301436_11_1
1,4300797,11,1,**OCT/12 JSF CONCURSO DE ACREEDORES**,,2014-09-03,1,1_4300797,1_4300797_11_1
1,4000658,11,1,ANTES J.A. ESTALELLA SA,,2014-09-03,1,1_4000658,1_4000658_11_1
1,4300690,99,1,ADELANTAR FRA. PER C/E tcuadra@cipsacircuits.com,,2014-09-03,1,1_4300690,1_4300690_99_1
1,4301579,11,1,ANTES CIPSA TECH SL. -CERRADA-,,2014-09-03,1,1_4301579,1_4301579_11_1
1,4301523,11,2,CERRADA PASA A 4301697 GARTES EMPRESARIAL SL,,2014-09-03,1,1_4301523,1_4301523_11_2
1,4301708,1,1,"CREDITO Y CAUCION RIESGO ""0"" MUY COMPLICADO",,2014-09-03,1,1_4301708,1_4301708_1_1
1,4301483,11,1,OCTUBR/12 ABSORIDA POR FILINOX SA,,2014-09-03,1,1_4301483,1_4301483_11_1
1,4300052,90,1,MANDAR FRA AL CORREO filinox.supply@inoxidables.com,,2014-09-03,1,1_4300052,1_4300052_90_1
1,4301314,90,1,ULTIMO PEDIDO DIC/12 NO HAN CUMPLIDO LAS CONDICIONES,,2014-09-03,1,1_4301314,1_4301314_90_1
1,4301314,90,2,"PACTADAS, HAN PAGADO A 90 DIAS *PROX.PEDIDO ANTES HABLAR",,2014-09-03,1,1_4301314,1_4301314_90_2
1,4300194,91,1,ENERO/13 CONCURSO ACREEDORES,,2014-09-03,1,1_4300194,1_4300194_91_1
1,4300220,91,1,05/2012-CONCURS DE CREDITORS,,2014-09-03,1,1_4300220,1_4300220_91_1
1,4301609,99,1,FACTURA QUINCENAL,,2014-09-03,1,1_4301609,1_4301609_99_1
1,4301646,99,1,ENVIAR FACTURA * CORREU ELECTRONIC - cromadosmadrid@terra.es,,2014-09-03,1,1_4301646,1_4301646_99_1
1,4301153,99,1,ENVIAR A PORTE PAGADO Y CARGAR EN FACTURA,,2014-09-03,1,1_4301153,1_4301153_99_1
1,4000706,11,1,DEL GRUPO DE TCT,,2014-09-03,1,1_4000706,1_4000706_11_1
1,4301657,11,1,ANTES CROBAR-CROMADOS Y NIQUELADOS BARCELONA,,2014-09-03,1,1_4301657,1_4301657_11_1
1,4301017,99,1,24/5/13 TL VICENTE DICEN QUE MANTIENEN LOS 90 DIAS,,2014-09-03,1,1_4301017,1_4301017_99_1
1,4301017,99,2,PROXIMO PEDIDO ANTES CONCRETAR LA FORMA DE PAGO,,2014-09-03,1,1_4301017,1_4301017_99_2
1,4000126,11,3,JUNIO/13 ANTES AHLSTROM BARCELONA - PAPELERA DEL BESOS,,2014-09-03,1,1_4000126,1_4000126_11_3
1,4000417,11,1,ANTES TALLERES MULTITORNS,,2014-09-03,1,1_4000417,1_4000417_11_1
1,4000578,11,1,***CERRO AÑO 2009*** AHORO FONALBRON-Sr.Ricardo-,,2014-09-03,1,1_4000578,1_4000578_11_1
1,4000473,11,1,04/09/13 ALBERT CAMP HEMOS DE PAGAR ANTICIPADAMENTE,,2014-09-03,1,1_4000473,1_4000473_11_1
1,4000473,11,2,NUEVAS NORMAS MENOS DE 2000KG PAGO AL CONTADO Y NOS ,,2014-09-03,1,1_4000473,1_4000473_11_2
1,4000473,11,3,HACEN UN FAVOR DE FABRICAR SOLAMENTE 50kg,,2014-09-03,1,1_4000473,1_4000473_11_3
1,4300357,99,1,ENVIAR FACTURES PER CORREU ELECTRÒNIC,,2014-09-03,1,1_4300357,1_4300357_99_1
1,4301079,11,2,HORARIO DE 8:00-14:00 y de 15:30-18:30,,2014-09-03,1,1_4301079,1_4301079_11_2
1,4000712,11,1,ANTES MOSS,,2014-09-03,1,1_4000712,1_4000712_11_1
1,4301724,11,1,HORARIO 08:00-14:00 Y DE 15:00-17:00,,2014-09-03,1,1_4301724,1_4301724_11_1
1,4300845,99,1,MANDAR FACTURA POR C/E. FINAL DE MES,,2014-09-03,1,1_4300845,1_4300845_99_1
1,4000423,99,1,12/02/20213 CONCURSO ACREEDORES,inagasa2,2021-06-21,1,1_4000423,1_4000423_99_1
1,4301060,90,1,FEBR/14 ENVIAR FACTURAS A: ADASA SISTEMAS SAU,,2014-09-03,1,1_4301060,1_4301060_90_1
1,4301060,90,2,"C/ JOSE AGUSTIN GOYTISOLO, 30-32 08908 L'HOSPITALET",,2014-09-03,1,1_4301060,1_4301060_90_2
